Dataset,NN,GRAIL exact classification precision,GRAIL exact precision,GRAIL exact time,PQ classification precision,PQ precision,PQ time,OPQ (64) classification precision,OPQ (64) precision,OPQ (64) time,OPQ (128) classification precision,OPQ (128) precision,OPQ (128) time,TRAIN_size,TEST_size
Rock,3,0.5,0.906666667,0.012845039,0.56,0.766666667,0.014378548,0.52,0.84,0.014928579,0.5,0.88,0.025051594,20,50
Rock,5,0.56,0.904,0.013336182,0.5,0.72,0.014690399,0.6,0.824,0.015184164,0.54,0.852,0.025172472,20,50
Rock,10,0.36,0.904,0.013695717,0.48,0.78,0.01507926,0.42,0.796,0.015610695,0.46,0.868,0.025621891,20,50
ScreenType,1,0.346666667,0.552,1.623971462,0.338666667,0.224,0.166571617,0.341333333,0.256,0.173169851,0.384,0.426666667,0.277911663,375,375
ScreenType,3,0.378666667,0.608,1.635560751,0.344,0.333333333,0.178724527,0.362666667,0.396444444,0.184621572,0.386666667,0.518222222,0.289090633,375,375
ScreenType,5,0.389333333,0.629866667,1.657455206,0.365333333,0.3808,0.182636023,0.373333333,0.466133333,0.190821886,0.378666667,0.56,0.292779684,375,375
ScreenType,10,0.370666667,0.644,1.656384468,0.365333333,0.448533333,0.189936161,0.330666667,0.542933333,0.195816755,0.354666667,0.600533333,0.29728651,375,375
SemgHandGenderCh2,1,0.9,0.015,2.097512007,0.728333333,0.025,0.244760275,0.82,0.02,0.254820585,0.87,0.018333333,0.412775278,300,600
SemgHandGenderCh2,3,0.913333333,0.038888889,2.098433733,0.756666667,0.038333333,0.261115313,0.848333333,0.047777778,0.272685528,0.888333333,0.043333333,0.431108952,300,600
SemgHandGenderCh2,5,0.905,0.061,2.126772881,0.75,0.062,0.265062809,0.826666667,0.072666667,0.279056787,0.901666667,0.068666667,0.436731815,300,600
SemgHandGenderCh2,10,0.893333333,0.100833333,2.109639406,0.743333333,0.107833333,0.274310827,0.84,0.1095,0.28850317,0.885,0.107333333,0.447973967,300,600
SemgHandMovementCh2,1,0.737777778,0.008888889,2.328552246,0.364444444,0.006666667,0.216312408,0.628888889,0.031111111,0.227655411,0.722222222,0.022222222,0.352086782,450,450
SemgHandMovementCh2,3,0.715555556,0.026666667,2.344332695,0.351111111,0.017777778,0.231570721,0.628888889,0.037777778,0.239317179,0.722222222,0.042962963,0.370298624,450,450
SemgHandMovementCh2,5,0.722222222,0.038222222,2.383150816,0.36,0.032888889,0.234479189,0.651111111,0.052444444,0.243768215,0.726666667,0.061777778,0.372246265,450,450
SemgHandMovementCh2,10,0.684444444,0.068444444,2.371422291,0.348888889,0.073555556,0.242171288,0.637777778,0.077555556,0.254115582,0.66,0.081777778,0.383098841,450,450
