Dataset,NN,GRAIL exact classification precision,GRAIL exact precision,GRAIL exact time,PQ classification precision,PQ precision,PQ time,OPQ (64) classification precision,OPQ (64) precision,OPQ (64) time,OPQ (128) classification precision,OPQ (128) precision,OPQ (128) time,TRAIN_size,TEST_size
WordSynonyms,1,0.634796238,0.62539185,1.963145256,0.568965517,0.319749216,0.25119853,0.586206897,0.390282132,0.273296118,0.628526646,0.482758621,0.436317921,267,638
WordSynonyms,3,0.615987461,0.677115987,2.006967306,0.534482759,0.453500522,0.267196894,0.601880878,0.532915361,0.281246185,0.614420063,0.63584117,0.447831869,267,638
WordSynonyms,5,0.603448276,0.692789969,2.009442329,0.515673981,0.478056426,0.273641825,0.60031348,0.590282132,0.28718257,0.60815047,0.668652038,0.450053453,267,638
WordSynonyms,10,0.573667712,0.692789969,1.997658968,0.507836991,0.494043887,0.286288977,0.543887147,0.619749216,0.299540281,0.581504702,0.686363636,0.464266539,267,638
Worms,1,0.571428571,0.480519481,0.162752151,0.584415584,0.272727273,0.027230501,0.519480519,0.363636364,0.155368567,0.623376623,0.415584416,0.307116508,181,77
Worms,3,0.584415584,0.454545455,0.164923668,0.493506494,0.246753247,0.02888751,0.467532468,0.367965368,0.032357454,0.584415584,0.428571429,0.07430315,181,77
Worms,5,0.623376623,0.509090909,0.16490531,0.519480519,0.288311688,0.02953577,0.584415584,0.415584416,0.06299448,0.623376623,0.485714286,0.050026894,181,77
Worms,10,0.662337662,0.551948052,0.166193247,0.519480519,0.332467532,0.030735493,0.623376623,0.511688312,0.032697678,0.597402597,0.524675325,0.051816463,181,77
WormsTwoClass,1,0.545454545,0.402597403,0.162233114,0.662337662,0.272727273,0.027086973,0.636363636,0.337662338,0.029130697,0.623376623,0.363636364,0.04812026,181,77
WormsTwoClass,3,0.584415584,0.41991342,0.163896799,0.61038961,0.272727273,0.02892971,0.636363636,0.380952381,0.030566216,0.597402597,0.376623377,0.049493313,181,77
WormsTwoClass,5,0.61038961,0.436363636,0.164871454,0.675324675,0.303896104,0.0294559,0.662337662,0.405194805,0.031191349,0.584415584,0.436363636,0.050346851,181,77
WormsTwoClass,10,0.597402597,0.450649351,0.165539026,0.688311688,0.337662338,0.030724525,0.675324675,0.414285714,0.032920361,0.623376623,0.446753247,0.051763296,181,77
Yoga,1,0.831,0.827333333,10.48300147,0.789666667,0.369333333,1.229487896,0.764333333,0.358,1.305332184,0.804666667,0.503666667,2.362590075,300,3000
Yoga,3,0.803666667,0.862222222,10.54441953,0.753666667,0.497,1.307996988,0.75,0.466666667,2.115471363,0.775,0.621,3.039499044,300,3000
Yoga,5,0.773333333,0.8934,10.6562295,0.699666667,0.556066667,1.333025932,0.721,0.541933333,4.28289175,0.761666667,0.693066667,11.9989934,300,3000
Yoga,10,0.750333333,0.924,10.64901352,0.628333333,0.638766667,1.382068634,0.685,0.686466667,1.670309067,0.727666667,0.794666667,11.33925152,300,3000
